Id,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Class
4958,-0.091897,-0.11851300000000001,0.189393,1.280303,0.261718,2.598755,0.295677,-0.974635,-0.310094,2.284822,A
843,-0.091897,0.258344,0.445454,1.6435819999999999,0.08296100000000001,-0.183409,0.144676,0.24770100000000003,0.001721,-0.12363699999999998,W
5184,0.45123199999999997,-0.26768600000000004,0.335206,-0.8313360000000001,0.261718,0.522513,-0.081827,0.914251,0.375899,0.639573,A
1929,-0.00549,0.7608189999999999,-0.09511900000000001,-0.016936,0.261718,-0.30798400000000004,-0.119577,0.06890399999999999,0.251173,-0.112823,F
1745,0.031541,0.446772,0.072032,0.600056,0.261718,1.8097830000000001,-0.006326,-0.9924,-0.43482,1.8029060000000001,F
113,0.068573,-0.181323,-3.210528,-0.294311,-1.168333,-0.391033,0.182426,0.788614,-0.5283640000000001,-0.327935,F
655,-0.079554,0.179832,0.310311,1.1799879999999998,-1.257711,0.231839,0.220177,1.056974,0.781258,0.22554000000000002,E
3013,-0.042522000000000004,-0.29909,0.182281,1.151314,0.261718,1.103861,0.371178,0.583685,-0.029461,0.910007,A
5998,-0.042522000000000004,-0.11066199999999998,0.40989,1.097277,0.261718,0.9792860000000001,0.257927,0.305733,0.064084,0.8646790000000001,A
2675,0.13029200000000002,0.062064,0.5059130000000001,0.41714799999999996,-1.168333,1.103861,0.748682,-0.106922,0.62535,0.671616,E
422,-0.585651,-0.354049,-3.210528,0.35651700000000003,0.261718,1.394535,0.106925,0.324081,1.093072,1.334226,E
4516,-0.33877399999999996,-0.09496,0.527252,1.8572520000000001,-1.257711,0.522513,-1.403091,0.31767399999999996,1.529613,1.622441,X
5023,0.056228999999999994,0.533135,0.185837,0.8828010000000001,0.261718,0.314889,0.7864329999999999,0.47400699999999996,-0.154186,-0.02153,A
5531,-0.00549,0.7608189999999999,-0.09511900000000001,-0.016936,0.261718,1.477585,0.408929,-1.4029,-0.37245700000000004,1.2094799999999999,F
1125,-0.116585,-0.338346,-3.210528,-0.8658290000000001,-1.168333,0.813187,-0.044076,-1.988158,-1.557353,0.951102,A
4969,0.043885,-0.07925700000000001,0.061363,0.5650850000000001,0.261718,-0.058835000000000005,1.050686,0.367028,0.251173,-0.481493,A
2252,0.006853,-0.181323,0.388552,0.301377,-0.095795,0.730137,-3.366113,-0.165633,0.375899,-0.8972379999999999,A
4470,-0.190648,-0.691649,0.28186,-0.194472,0.17234000000000002,-0.349509,0.371178,0.52903,0.843621,-0.394985,E
4419,0.15498,-0.3619,0.40989,-0.17194500000000001,0.261718,-0.889332,0.069175,0.17786400000000002,-0.060641999999999995,-0.725308,F
4777,8.314263,-0.087108,0.527252,0.6596420000000001,-3.134652,-1.013906,1.0129350000000001,2.838959,-2.742249,-1.263148,E
1785,-0.252367,-0.008597,-2.044028,0.342613,0.351096,-2.301176,-2.724356,0.272689,-0.216549,-2.131298,X
4355,0.09326,-0.26768600000000004,0.16805499999999998,-0.383884,0.261718,0.397939,0.333428,0.16483599999999998,0.126447,0.289758,A
5441,0.229043,0.572391,0.050694,-0.980138,-0.27455100000000005,0.231839,0.144676,0.047508999999999996,0.001721,0.257848,A
5279,-0.00549,0.478177,0.029355000000000003,-0.247644,0.17234000000000002,0.522513,0.295677,-0.443255,-0.310094,0.42728299999999997,A
123,0.10560399999999999,0.556689,-0.031104000000000003,0.619301,0.17234000000000002,-0.764757,-0.081827,-0.31808400000000003,-0.37245700000000004,-0.5405989999999999,A
5562,-0.215336,-0.10281099999999999,0.360101,0.941284,0.17234000000000002,0.522513,0.6354310000000001,1.082583,1.124254,0.23,E
4657,-0.030177999999999996,0.014957,0.26407800000000003,0.374062,0.261718,0.273364,0.144676,0.21232600000000001,0.562987,0.287721,A
5370,-0.06721,-0.157769,-3.210528,-2.154594,-1.79398,-1.802878,-2.988609,-2.05384,-0.621908,-2.751233,C
2068,-0.277055,0.038511000000000004,0.42056000000000004,3.9871519999999996,0.17234000000000002,1.26996,0.144676,0.29639499999999996,0.18880999999999998,1.1661290000000002,X
9,0.37716900000000003,-0.07925700000000001,0.153829,-1.1029520000000002,0.261718,-0.349509,0.031425,0.093252,-0.9649049999999999,-0.21689499999999998,A
